Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,131.67092895507812,168.87603759765625,413.4573669433594,92.07866668701172,258.46490478515625,1694.2562255859375,128.03604125976562,72.52725219726562,281.76593017578125,137.84405517578125,8747.2646484375,401.8272399902344,174.08511352539062,1706.093505859375,256.7846984863281,76.3072280883789,132.8699188232422,322.9219665527344,1478.912109375,125.36603546142578,38.23771286010742,457.12591552734375,728.5679931640625,187.39027404785156,,154.8881378173828,41.25592041015625,405.4710693359375,231.765380859375,323.2208557128906,584.4880981445312,621.2823486328125,441.0555419921875,1398.22509765625,88.69683074951172,123.44795227050781,62.96147155761719,389.0529479980469,224.4749755859375,352.5837097167969,528.6986694335938,309.8193054199219,338.0247802734375,194.77783203125,79.73206329345703,1963.4625244140625,111.8993911743164,137.04779052734375,87.24320983886719,209.7527313232422,
2013-01-02,132.29202270507812,170.92630004882812,408.6806335449219,96.0055160522461,263.04541015625,1750.1644287109375,126.62921142578125,74.5933609008789,280.8474426269531,140.4580535888672,8829.02734375,404.7149963378906,173.48056030273438,1707.90576171875,250.83740234375,77.87650299072266,133.53199768066406,324.26641845703125,1485.1478271484375,126.16034698486328,39.16132736206055,457.0397644042969,740.5073852539062,189.90565490722656,,153.890625,42.08367156982422,414.8115539550781,231.80047607421875,326.6770935058594,584.6781616210938,630.7073364257812,439.5569152832031,1437.9267578125,89.83763122558594,126.65348815917969,62.54670715332031,392.4080505371094,226.70449829101562,353.2513122558594,528.3431396484375,311.04193115234375,337.9861755371094,196.03993225097656,79.31053924560547,1975.54736328125,114.32218170166016,135.9601287841797,89.2276840209961,217.07785034179688,5993.25
2013-01-03,132.148681640625,172.76736450195312,410.994140625,96.2435073852539,263.6334533691406,1760.2176513671875,130.03843688964844,74.55265808105469,286.92718505859375,142.4446563720703,8767.0185546875,402.2122802734375,174.3269500732422,1749.355712890625,251.26785278320312,77.57759094238281,133.68150329589844,322.37939453125,1471.5853271484375,125.59967041015625,39.332855224609375,458.633544921875,739.54541015625,189.5902099609375,,152.89309692382812,42.01405715942383,416.0569152832031,234.68148803710938,325.6824951171875,578.925537109375,625.8513793945312,438.52667236328125,1424.9083251953125,89.86614227294922,129.05189514160156,63.127410888671875,398.33154296875,228.65188598632812,349.889892578125,535.5784301757812,311.1397705078125,341.1875305175781,196.3841552734375,82.38179016113281,1965.4525146484375,115.1673355102539,137.35855102539062,90.02330017089844,217.1248321533203,6009.5
2013-01-04,131.38427734375,172.47447204589844,411.4896545410156,95.98171997070312,261.54705810546875,1752.8267822265625,130.0994110107422,76.13021850585938,286.05242919921875,144.3964080810547,8708.5498046875,400.575927734375,175.94711303710938,1755.90771484375,247.96914672851562,79.24295043945312,135.4113311767578,320.4923400878906,1471.5853271484375,123.87078094482422,41.404396057128906,460.6581726074219,732.7227172851562,191.26441955566406,,152.27297973632812,43.49935531616211,412.65606689453125,235.85089111328125,323.34521484375,574.789306640625,622.467529296875,440.7979431152344,1426.8931884765625,90.63618469238281,131.3580322265625,63.56981658935547,398.840576171875,230.04879760742188,350.509765625,543.3576049804688,308.49884033203125,334.39923095703125,196.6240692138672,81.83981323242188,1982.0023193359375,113.64604949951172,139.37857055664062,89.44715118408203,213.22744750976562,6016.14990234375
2013-01-07,133.8208465576172,170.59153747558594,410.7745666503906,95.95792388916016,260.39007568359375,1745.9129638671875,129.90711975097656,78.47111511230469,285.8774108886719,144.57070922851562,8692.568359375,408.46905517578125,174.20606994628906,1754.281494140625,249.79200744628906,78.2181167602539,134.09791564941406,315.2322082519531,1478.8731689453125,125.59967041015625,43.416561126708984,452.6459045410156,719.8211059570312,191.22396850585938,,150.46661376953125,43.514835357666016,413.2308349609375,238.38555908203125,322.47491455078125,569.369384765625,607.2308959960938,446.8392028808594,1463.0399169921875,89.89464569091797,132.83396911621094,63.265655517578125,396.4110412597656,228.28184509277344,354.80084228515625,541.5382690429688,306.3959045410156,340.1075744628906,193.4009246826172,82.65278625488281,1980.837158203125,114.1812973022461,139.82745361328125,91.12982177734375,209.65879821777344,5988.39990234375
2013-01-08,131.33653259277344,169.0433807373047,410.751220703125,95.52952575683594,258.0096435546875,1747.1444091796875,129.7898712158203,77.50422668457031,288.9391784667969,141.4687957763672,8646.07421875,413.42626953125,174.23020935058594,1773.3798828125,245.5137939453125,77.83380126953125,135.55018615722656,316.1993408203125,1466.2459716796875,124.29133605957031,42.651283264160156,452.7321472167969,734.9969482421875,190.8034210205078,,154.0523681640625,43.530311584472656,415.5299987792969,235.29376220703125,324.6133117675781,568.5612182617188,599.1058959960938,448.7826232910156,1454.0379638671875,89.80911254882812,133.8025360107422,64.39933776855469,393.6575622558594,230.6640167236328,359.71173095703125,543.796630859375,307.2762145996094,334.28350830078125,193.2653045654297,82.86355590820312,1959.9193115234375,112.51914978027344,137.4794158935547,91.38587951660156,210.36314392089844,6001.7001953125
2013-01-09,129.13880920410156,164.8591766357422,407.9514465332031,93.53040313720703,255.98963928222656,1714.918701171875,128.60812377929688,78.51182556152344,291.9571533203125,142.93260192871094,8581.7353515625,412.367431640625,175.89874267578125,1775.935791015625,243.1023406982422,79.12551879882812,135.79576110839844,314.9020080566406,1440.2119140625,123.40352630615234,44.32038879394531,447.39068603515625,725.9878540039062,190.948974609375,,150.70925903320312,44.30390167236328,416.29644775390625,233.9888153076172,322.798095703125,563.1889038085938,592.5294799804688,451.66278076171875,1449.190673828125,88.81090545654297,134.77114868164062,63.9016227722168,394.60626220703125,233.3884735107422,362.9300231933594,533.9057006835938,320.1873779296875,325.7596130371094,195.97738647460938,81.90003204345703,1904.78564453125,110.9133529663086,137.099609375,92.21807861328125,209.7527313232422,5971.5
2013-01-10,129.75990295410156,160.46571350097656,407.8158874511719,90.84111022949219,259.4701843261719,1699.2232666015625,131.8157501220703,77.52456665039062,288.720458984375,142.9674530029297,8687.7236328125,409.52789306640625,176.84185791015625,1775.145751953125,246.51089477539062,78.45296478271484,137.02374267578125,318.81756591796875,1441.030517578125,121.53449249267578,43.57489776611328,445.06451416015625,722.0516357421875,190.7953338623047,,151.51806640625,44.2729606628418,422.66705322265625,233.11550903320312,325.1603088378906,556.2952880859375,591.3440551757812,450.1875915527344,1451.6837158203125,87.7271499633789,139.40646362304688,62.98912811279297,393.3798522949219,234.89642333984375,359.6163635253906,526.2940063476562,326.3984069824219,324.3711242675781,203.52938842773438,82.44200134277344,1843.43994140625,108.91313934326172,136.59890747070312,94.27571105957031,212.05355834960938,5968.64990234375
2013-01-11,125.84226989746094,155.98855590820312,401.9034118652344,87.81861877441406,258.73040771484375,1683.2890625,129.89776611328125,75.46866607666016,284.477783203125,143.21142578125,8573.2109375,405.7256774902344,174.42367553710938,1765.6663818359375,246.92373657226562,77.81243133544922,137.71791076660156,315.7510986328125,1433.78125,118.73092651367188,43.01412582397461,429.1263732910156,708.0567016601562,188.21524047851562,,147.42010498046875,44.05634307861328,412.943359375,272.244140625,313.2996520996094,558.8150634765625,585.74267578125,439.2291564941406,1445.1744384765625,87.0997314453125,134.84034729003906,62.574371337890625,388.6827697753906,230.4512176513672,352.464599609375,546.34765625,323.1706237792969,321.90264892578125,206.3979034423828,80.6655044555664,1828.0546875,109.53291320800781,145.0068817138672,91.15726470947266,218.15785217285156,5951.2998046875
2013-01-14,130.2376708984375,159.04306030273438,408.0823974609375,91.41230010986328,262.9032287597656,1663.6201171875,130.72776794433594,75.95719146728516,287.53948974609375,144.8495330810547,8579.6396484375,400.72027587890625,173.6981964111328,1777.9342041015625,242.8563995361328,79.18958282470703,143.68702697753906,315.7510986328125,1436.7042236328125,119.85234832763672,43.535301208496094,435.3292541503906,723.4073486328125,191.70925903320312,,149.84652709960938,44.57466506958008,421.6611328125,281.7201843261719,312.5786437988281,550.6376953125,594.4793701171875,437.8710021972656,1421.0303955078125,87.86976623535156,140.7901611328125,61.96604537963867,392.222900390625,231.25607299804688,350.5812683105469,558.1209106445312,320.52972412109375,326.91668701171875,209.0369415283203,83.19477081298828,1811.4075927734375,110.9133529663086,144.73065185546875,92.63876342773438,218.5334930419922,6024.0498046875
