target,Return,gold Return_1,gold Return_2,gold Return_3,gold Return_4,gold Return_5,gold Return_6,gold Return_7,gold Return_8,gold Return_9,gold Return_10,gold Return_11,gold Return_12,gold Return_13,gold Return_14,gold Return_15,gold Return_16,gold Return_17,gold Return_18,gold Return_19,gold Return_20,gold Return_21,gold Return_22,gold Return_23,gold Return_24,gold Return_25,gold Return_26,gold Return_27,gold Return_28,gold Return_29,gold Return_30,gold Return_31,gold Return_32,gold Return_33,gold Return_34,gold Return_35,gold Return_36,gold Return_37,gold Return_38,gold Return_39,gold Return_40,gold Return_41,gold Return_42,gold Return_43,gold Return_44,gold Return_45,gold Return_46,gold Return_47,gold Return_48,gold Return_49,gold Return_50
1,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001,0.009083831,0.0046936109999999994,0.002610966,0.00052233,-0.009595436
0,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001,0.009083831,0.0046936109999999994,0.002610966,0.00052233
0,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001,0.009083831,0.0046936109999999994,0.002610966
0,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001,0.009083831,0.0046936109999999994
1,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001,0.009083831
0,0.000366614,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678,-0.0010269580000000001
0,-0.010726475,0.000366614,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581,-0.002956678
1,-0.010477011999999999,-0.010726475,0.000366614,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998,-0.002322581
1,0.005480817,-0.010477011999999999,-0.010726475,0.000366614,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362,-0.0020671829999999998
1,0.000618582,0.005480817,-0.010477011999999999,-0.010726475,0.000366614,-0.006796117,-0.001452785,-0.005525525999999999,0.012797075,0.012297098000000001,0.001725838,-0.004428044,0.00049249,-0.0013521820000000002,0.009803922,0.001240233,0.000247893,0.009883648,0.008577195,-0.0046325279999999995,0.003262233,0.005930599,-0.0020161289999999998,-0.006766917,-0.0029985009999999998,0.008068583,-0.001008319,0.00277883,0.004435433,-0.001647029,0.011514841000000001,0.009938049000000001,0.000258398,0.0006461619999999999,-0.002191286,0.000128866,0.00051573,-0.00128866,-0.002057349,0.001547988,-0.001287996,0.004009831,0.00025879900000000004,-0.0011638430000000001,-0.004890605,0.00038585199999999995,-0.003589744,0.0019267820000000001,0.00038565400000000003,0.003871967,0.002200362
